timestamp_iso,epoch_ms,process,pid,cpu_percent_of_one_core,working_set_mb,private_mb,threads,handles
2026-08-22T19:10:53.346,1787400653346,node,3728,0,77.93,87.09,12,206
2026-08-22T19:10:53.346,1787400653346,node,14084,0,76.73,75.07,17,184
2026-08-22T19:10:53.346,1787400653346,java,13316,301.6,226.56,1234.55,236,1553
2026-08-22T19:10:55.411,1787400655411,node,3728,2.3,78,87.18,12,209
2026-08-22T19:10:55.411,1787400655411,node,14084,0,77.06,75.08,17,183
2026-08-22T19:10:55.411,1787400655411,java,13316,48.4,224.54,1232.05,236,1567
2026-08-22T19:10:57.452,1787400657452,node,3728,2.3,78.05,87.21,12,215
2026-08-22T19:10:57.452,1787400657452,node,14084,0,77.06,75.08,17,183
2026-08-22T19:10:57.452,1787400657452,java,13316,29.1,209.05,1216.13,236,1585
2026-08-22T19:10:59.498,1787400659498,node,3728,3.1,78.74,88.72,12,219
2026-08-22T19:10:59.498,1787400659498,node,14084,0,77.06,75.08,17,183
2026-08-22T19:10:59.498,1787400659498,java,13316,12.2,209.86,1216.95,236,1597
2026-08-22T19:11:01.527,1787400661527,node,3728,3.9,80.48,88.57,12,226
2026-08-22T19:11:01.527,1787400661527,node,14084,0,77.07,75.32,17,183
2026-08-22T19:11:01.527,1787400661527,java,13316,11.6,201.77,1209.56,236,1618
2026-08-22T19:11:03.559,1787400663559,node,3728,6.9,80.79,88.73,12,230
2026-08-22T19:11:03.559,1787400663559,node,14084,0,77.07,75.32,17,183
2026-08-22T19:11:03.559,1787400663559,java,13316,29.2,205.93,1213.42,236,1630
2026-08-22T19:11:05.580,1787400665580,node,3728,13.1,80.83,88.73,12,230
2026-08-22T19:11:05.580,1787400665580,node,14084,0,77.08,75.32,17,183
2026-08-22T19:11:05.580,1787400665580,java,13316,20.1,209.02,1216.42,236,1630
2026-08-22T19:11:07.607,1787400667607,node,3728,22.4,80.89,87.63,12,230
2026-08-22T19:11:07.607,1787400667607,node,14084,1.5,58.05,55.02,17,183
2026-08-22T19:11:07.607,1787400667607,java,13316,29.3,207.12,1213.67,236,1630
2026-08-22T19:11:09.628,1787400669628,node,3728,19.3,81.34,88.79,12,230
2026-08-22T19:11:09.628,1787400669628,node,14084,0,58.05,55.02,17,183
2026-08-22T19:11:09.628,1787400669628,java,13316,15.5,212.62,1219.43,236,1630
2026-08-22T19:11:11.643,1787400671643,node,3728,18.6,81.39,88.8,12,230
2026-08-22T19:11:11.643,1787400671643,node,14084,0,58.05,55.02,17,183
2026-08-22T19:11:11.643,1787400671643,java,13316,11.6,211,1210.77,236,1630
2026-08-22T19:11:13.656,1787400673656,node,3728,22.5,81.39,88.8,12,230
2026-08-22T19:11:13.656,1787400673656,node,14084,0,58.06,55.02,17,183
2026-08-22T19:11:13.656,1787400673656,java,13316,14,219.08,1218.79,236,1630
2026-08-22T19:11:15.675,1787400675675,node,3728,24,82.02,89.44,12,230
2026-08-22T19:11:15.675,1787400675675,node,14084,0,58.06,55.02,17,183
2026-08-22T19:11:15.675,1787400675675,java,13316,14.7,219.5,1219.04,236,1630
